name (HL)	NAME (SF)
MoneyBug Absentee Postcard	Office Direct Mail
MoneyBug Atlanta Email	Email Marketing
MoneyBug Austin Seliger	Purchased Lead
Moneybug Constant Contact Austin	Email Marketing
Moneybug FB SEM San Antonio	Moneybug Website
MoneyBug High Equity Postcard	Office Direct Mail
MoneyBug Los Angeles Email	Email Marketing
Moneybug Mailchimp Austin	Email Marketing
Moneybug MailChimp Dallas	Email Marketing
MoneyBug MailChimp Fort Worth	Email Marketing
MoneyBug Mailchimp Houston	Email Marketing
MoneyBug MailChimp Philadelphia	Email Marketing
MoneyBug MailChimp San Antonio	Email Marketing
MoneyBug MDR	MoneyBug MDR
Moneybug Philadelphia Email	Email Marketing
MoneyBug Philadelphia THEO Leads	Purchased Lead
MoneyBug Probate Letters	Office Direct Mail
MoneyBug Radio San Antonio	Other
MoneyBug Referral	Referral
Moneybug SEM Atlanta	Moneybug Website
MoneyBug SEM Austin	Moneybug Website
Moneybug SEM Dallas	Moneybug Website
Moneybug SEM Fort Worth	Moneybug Website
Moneybug SEM Houston	Moneybug Website
MoneyBug SEM Los Angeles	Moneybug Website
Moneybug SEM Philadelphia	Moneybug Website
Moneybug SEM San Antonio	Moneybug Website
MoneyBug Site-Adword Calls	Moneybug Website
MoneyBug Site-MailChimp	Email Marketing
MoneyBug Site-Randy	Moneybug Website
Moneybug Stickers	Other
Moneybug Unknown	Other
MoneyBug Website	Moneybug Website
MoneyBug Yellow Letter	Office Direct Mail
MoneyBug Yellow Letter-Austin	Office Direct Mail
Manual MLS Research	MLS Research
MLS Agent List	MLS Research
Auction	Other
BiggerPockets	REI Website
Bush Buy	Bush Buy
Craigslist	REI Online Marketplace
Deal Scalper	Deal Scalper
E-mail Blast	Email Marketing
Facebook	Social Media
Flipper Contact	Referral
FSBO	Other
Glassdoor	Social Media
Homevestors Franchise	Referral
ICC LEAD	Purchased Lead
Import	Other
Manually Entered	Other
Misc Online Posting	REI Online Marketplace
Newspaper Ad	Other
Other	Other
Other (Explain where)	Other
Paid Affiliate web lead	Purchased Lead
Referral (Employee Name Referred by)	Referral
Road Sign	Other
Sticker	Other
Yellow Pages	Other
Zillow FISBO	REI Online Marketplace
HomeGo Agent Microsite
HomeGo FLS List
HomeGo Office Microsite
HomeGo Partner 4% min holdback
